gene_name	source
RPL21	retrogeneDB2-retrocopy
PPIA	retrogeneDB2-retrocopy
RPL23A	retrogeneDB2-retrocopy
KRT18	retrogeneDB2-retrocopy
HNRNPA1	retrogeneDB2-retrocopy
RPL7	retrogeneDB2-retrocopy
HMGN2	retrogeneDB2-retrocopy
RPS2	retrogeneDB2-retrocopy
RPL31	retrogeneDB2-retrocopy
RPL12	retrogeneDB2-retrocopy
RPL7A	retrogeneDB2-retrocopy
GAPDH	retrogeneDB2-retrocopy
RPS3A	retrogeneDB2-retrocopy
HMGB1	retrogeneDB2-retrocopy
RPS15A	retrogeneDB2-retrocopy
RPL34	retrogeneDB2-retrocopy
RPL17	retrogeneDB2-retrocopy
RPL5	retrogeneDB2-retrocopy
NPM1	retrogeneDB2-retrocopy
RPL26	retrogeneDB2-retrocopy
KRT8	retrogeneDB2-retrocopy
RPL9	retrogeneDB2-retrocopy
EEF1A1	retrogeneDB2-retrocopy
RPL13A	retrogeneDB2-retrocopy
RPS20	retrogeneDB2-retrocopy
RPL6	retrogeneDB2-retrocopy
RPL32	retrogeneDB2-retrocopy
RPS12	retrogeneDB2-retrocopy
BNIP3	retrogeneDB2-retrocopy
RPL7A	retrogeneDB2-retrocopy
RPL7L1	retrogeneDB2-retrocopy
RPL29	retrogeneDB2-retrocopy
RPS10	retrogeneDB2-retrocopy
RPL19	retrogeneDB2-retrocopy
RPL37	retrogeneDB2-retrocopy
FTH1	retrogeneDB2-retrocopy
RPL13	retrogeneDB2-retrocopy
RPL36A	retrogeneDB2-retrocopy
RPL36A	retrogeneDB2-retrocopy
RPS4X	retrogeneDB2-retrocopy
NDUFA4	retrogeneDB2-retrocopy
RSL24D1	retrogeneDB2-retrocopy
RPLP1	retrogeneDB2-retrocopy
PHB	retrogeneDB2-retrocopy
HSPE1	retrogeneDB2-retrocopy
CNN2	retrogeneDB2-retrocopy
ST13	retrogeneDB2-retrocopy
RPS6	retrogeneDB2-retrocopy
PFN1	retrogeneDB2-retrocopy
RPS17L	retrogeneDB2-retrocopy
RPL22	retrogeneDB2-retrocopy
RPS7	retrogeneDB2-retrocopy
ASS1	retrogeneDB2-retrocopy
RPL3	retrogeneDB2-retrocopy
TAF11	retrogeneDB2-retrocopy
VDAC1	retrogeneDB2-retrocopy
HMGB3	retrogeneDB2-retrocopy
RARRES2	retrogeneDB2-retrocopy
RPL15	retrogeneDB2-retrocopy
RPL36	retrogeneDB2-retrocopy
PPP1R2	retrogeneDB2-retrocopy
SET	retrogeneDB2-retrocopy
FABP5	retrogeneDB2-retrocopy
RPL10A	retrogeneDB2-retrocopy
RPS26	retrogeneDB2-retrocopy
HIGD1A	retrogeneDB2-retrocopy
TPT1	retrogeneDB2-retrocopy
SNRPG	retrogeneDB2-retrocopy
RPS16	retrogeneDB2-retrocopy
PGAM1	retrogeneDB2-retrocopy
RPL18A	retrogeneDB2-retrocopy
PTMA	retrogeneDB2-retrocopy
EIF4A1	retrogeneDB2-retrocopy
H3F3B	retrogeneDB2-retrocopy
TMA7	retrogeneDB2-retrocopy
FTL	retrogeneDB2-retrocopy
BTF3	retrogeneDB2-retrocopy
HNRNPA3	retrogeneDB2-retrocopy
RPL18	retrogeneDB2-retrocopy
SAR1A	retrogeneDB2-retrocopy
SKP1	retrogeneDB2-retrocopy
NDUFA5	retrogeneDB2-retrocopy
ACTG1	retrogeneDB2-retrocopy
RPS27A	retrogeneDB2-retrocopy
PSMC1	retrogeneDB2-retrocopy
GCSH	retrogeneDB2-retrocopy
SNRPE	retrogeneDB2-retrocopy
RPS8	retrogeneDB2-retrocopy
ATP5G1	retrogeneDB2-retrocopy
CHCHD2	retrogeneDB2-retrocopy
RPS28	retrogeneDB2-retrocopy
CBX3	retrogeneDB2-retrocopy
DNAJB6	retrogeneDB2-retrocopy
SSU72	retrogeneDB2-retrocopy
TPM3	retrogeneDB2-retrocopy
RPL30	retrogeneDB2-retrocopy
HSPA8	retrogeneDB2-retrocopy
EEF1B2	retrogeneDB2-retrocopy
RPL23	retrogeneDB2-retrocopy
DPPA3	retrogeneDB2-retrocopy
SDHD	retrogeneDB2-retrocopy
SUCLA2	retrogeneDB2-retrocopy
RPL24	retrogeneDB2-retrocopy
DNAJC19	retrogeneDB2-retrocopy
RPS14	retrogeneDB2-retrocopy
RAN	retrogeneDB2-retrocopy
AKR1B1	retrogeneDB2-retrocopy
DHFR	retrogeneDB2-retrocopy
FAM136A	retrogeneDB2-retrocopy
HMGB3	retrogeneDB2-retrocopy
MYL12B	retrogeneDB2-retrocopy
SLC25A5	retrogeneDB2-retrocopy
TXN	retrogeneDB2-retrocopy
RPS17	retrogeneDB2-retrocopy
TDGF1	retrogeneDB2-retrocopy
PRELID1	retrogeneDB2-retrocopy
DUSP8	retrogeneDB2-retrocopy
AC118758.1	retrogeneDB2-retrocopy
RPL37A	retrogeneDB2-retrocopy
RPL27A	retrogeneDB2-retrocopy
RPL14	retrogeneDB2-retrocopy
NUTF2	retrogeneDB2-retrocopy
DUT	retrogeneDB2-retrocopy
PDCL3	retrogeneDB2-retrocopy
COX5B	retrogeneDB2-retrocopy
CFL1	retrogeneDB2-retrocopy
RPLP0	retrogeneDB2-retrocopy
ARL5A	retrogeneDB2-retrocopy
EIF4B	retrogeneDB2-retrocopy
LYPLA2	retrogeneDB2-retrocopy
HSPD1	retrogeneDB2-retrocopy
ACTR3B	retrogeneDB2-retrocopy
AHCY	retrogeneDB2-retrocopy
OSTC	retrogeneDB2-retrocopy
IMPDH1	retrogeneDB2-retrocopy
